DATE,REGION,VOL
2012-07-02,COFFE,2.4481028741081623e-06
2012-07-03,COFFE,0.0002812460276637146
2012-07-05,COFFE,0.0004696977844920737
2012-07-06,COFFE,7.656733033125699e-05
2012-07-09,COFFE,0.00019858521827965472
2012-07-10,COFFE,1.0942693554967458e-05
2012-07-11,COFFE,0.0004701639842039663
2012-07-12,COFFE,0.00010627320311759286
2012-07-13,COFFE,1.0630050243360321e-07
2012-07-16,COFFE,0.0004109245380511177
2012-07-17,COFFE,2.3038856099478707e-05
2012-07-18,COFFE,4.8578680159165244e-05
2012-07-19,COFFE,4.8578680159165244e-05
2012-07-20,COFFE,0.0002291079925939756
2012-07-23,COFFE,0.00011507914529227048
2012-07-24,COFFE,0.0015452849369500105
2012-07-25,COFFE,0.0002300094551545006
2012-07-26,COFFE,0.00047540667088941026
2012-07-27,COFFE,0.0001614249913480093
2012-07-30,COFFE,0.0003849273554605605
2012-07-31,COFFE,0.0004138201152129973
2012-08-01,COFFE,0.000300968343483339
2012-08-02,COFFE,0.00020189504106525417
2012-08-03,COFFE,0.00010164706196967395
2012-08-06,COFFE,0.00027572134321839737
2012-08-07,COFFE,0.00017144363735408983
2012-08-08,COFFE,0.00012557739123286843
2012-08-09,COFFE,0.00032928814492278515
2012-08-10,COFFE,0.0001385508078334211
2012-08-13,COFFE,0.00024468447532629927
2012-08-14,COFFE,0.0001503659531437534
2012-08-15,COFFE,0.00031330641147930485
2012-08-16,COFFE,0.00022600931328817513
2012-08-17,COFFE,0.0001552766817609712
2012-08-20,COFFE,0.00013658515585712128
2012-08-21,COFFE,5.256719703465149e-05
2012-08-22,COFFE,0.00012404509883307116
2012-08-23,COFFE,8.789381551753705e-05
2012-08-24,COFFE,0.00016888689454844395
2012-08-27,COFFE,7.835554899467869e-05
2012-08-28,COFFE,6.557075517899128e-05
2012-08-29,COFFE,7.105978964643243e-05
2012-08-30,COFFE,0.00033124790585316733
2012-08-31,COFFE,7.724401448286126e-05
2012-09-04,COFFE,4.020885453161786e-06
2012-09-05,COFFE,0.00018665830561991065
2012-09-06,COFFE,0.0003266940367735593
2012-09-07,COFFE,9.908013148638563e-06
2012-09-10,COFFE,0.0
2012-09-11,COFFE,0.0
2012-09-12,COFFE,2.843470035219017e-08
2012-09-13,COFFE,6.412221782269076e-06
2012-09-14,COFFE,7.413802322641175e-05
2012-09-17,COFFE,0.0007906388974741143
2012-09-18,COFFE,0.0003967076036369975
2012-09-19,COFFE,0.0005323065460378625
2012-09-20,COFFE,0.0004720315362466631
2012-09-21,COFFE,0.0003327978398747006
2012-09-24,COFFE,0.0003238924210456329
2012-09-25,COFFE,0.0001309401787372043
2012-09-26,COFFE,0.0002224898148285873
2012-09-27,COFFE,0.0003295171381713088
2012-09-28,COFFE,0.00029626066647358944
2012-10-01,COFFE,0.0005413016213712685
2012-10-02,COFFE,0.0004783462553488573
2012-10-03,COFFE,0.0002639942159524455
2012-10-04,COFFE,0.0012236686748517856
2012-10-05,COFFE,0.0009539038217000632
2012-10-08,COFFE,0.00011906005210299187
2012-10-09,COFFE,0.00045000352330166067
2012-10-10,COFFE,0.00017624223179737772
2012-10-11,COFFE,0.00015888183142313535
2012-10-12,COFFE,0.00016006539220199411
2012-10-15,COFFE,0.0001467522806926362
2012-10-16,COFFE,0.00013224241646917636
2012-10-17,COFFE,0.00019453848826544252
2012-10-18,COFFE,0.0002750242292294869
2012-10-19,COFFE,0.0003093301593836844
2012-10-22,COFFE,0.00024934484848310634
2012-10-23,COFFE,0.00020328671081733322
2012-10-24,COFFE,0.00018147044044844351
2012-10-25,COFFE,0.00010200980745056585
2012-10-26,COFFE,0.00029474522121231367
2012-10-29,COFFE,0.0004313791453957028
2012-10-30,COFFE,0.0005440881440275545
2012-10-31,COFFE,0.00029118623160358324
2012-11-01,COFFE,0.00019558692573779424
2012-11-02,COFFE,8.014094340155851e-05
2012-11-05,COFFE,0.00023514108171091537
2012-11-06,COFFE,7.27128044325605e-05
2012-11-07,COFFE,0.00016923550147819973
2012-11-08,COFFE,0.00017102707485710898
2012-11-09,COFFE,0.00011967236531461659
2012-11-12,COFFE,0.0001632335563813047
2012-11-13,COFFE,0.0008499732911911737
2012-11-14,COFFE,8.01315005418726e-05
2012-11-15,COFFE,0.0003930841276457018
2012-11-16,COFFE,0.0001032667025868944
2012-11-19,COFFE,0.0002908387294981335
2012-11-20,COFFE,0.001014569926088489
2012-11-21,COFFE,0.00015059300739205954
2012-11-23,COFFE,0.0001474140987405655
2012-11-26,COFFE,0.0019909345765275195
2012-11-27,COFFE,0.00044477081217252285
2012-11-28,COFFE,0.0009801525663491546
2012-11-29,COFFE,0.00022444413036772242
2012-11-30,COFFE,0.000488696658805783
2012-12-03,COFFE,6.544684309944346e-05
2012-12-04,COFFE,0.0
2012-12-05,COFFE,1.6673119685185043e-05
2012-12-06,COFFE,1.6673119685185043e-05
2012-12-07,COFFE,8.365514626592701e-05
2012-12-10,COFFE,0.0
2012-12-11,COFFE,0.0
2012-12-12,COFFE,0.00012937239769187717
2012-12-13,COFFE,0.00012937239769187717
2012-12-14,COFFE,0.0
2012-12-17,COFFE,1.702041094098664e-06
2012-12-18,COFFE,1.702041094098664e-06
2012-12-19,COFFE,0.0001719443838601056
2012-12-20,COFFE,0.0003443720602406823
2012-12-21,COFFE,0.00043282051264816794
2012-12-24,COFFE,0.0001364608879212293
2012-12-26,COFFE,0.00015954198286525213
2012-12-27,COFFE,6.280503157896077e-05
2012-12-28,COFFE,0.00022110694053219205
2012-12-31,COFFE,0.0004364418936720134
2013-01-02,COFFE,0.0004230048821102162
2013-01-03,COFFE,0.0006893783774137037
2013-01-04,COFFE,0.00047146015288127897
2013-01-07,COFFE,0.00031541136201982143
2013-01-08,COFFE,0.00037918949091470287
2013-01-09,COFFE,0.00016965635160442157
